,微博正文
4705,【#英国女王去世#，#伊丽莎白二世经历了15位英国首相#】据央视消息，当地时间9月8日，英国女王伊丽莎白二世在苏格兰巴尔莫勒尔城堡去世，享年96岁。英国女王伊丽莎白二世于1953年加冕，2015年9月成为英国在位时间最长的君主。伊丽莎白二世原名伊丽莎白·亚历山德拉·玛丽(ElizabethAlexandraMary)，出生于1926年4月21日，她的父亲乔治六世是国王乔治五世的次子，叔叔是当时的国王爱德华八世。1936年，爱德华八世为了迎娶美国社交名媛辛普森夫人断然退位，由弟弟继位，成为乔治六世国王。当时10岁的伊丽莎白公主作为乔治六世的长女，成为王位第一顺位继承人。1952年2月6日，乔治六世病故，当时正在非洲出访的伊丽莎白公主继承王位，时年25岁。一年零四个月后，她在伦敦加冕，成为英国第二位“伊丽莎白女王”。自伊丽莎白二世登基以来，世界政坛更迭变化、如“走马观花”，而她却岿巍不动。在她长达数十年的统治期间，英国经历了“日不落帝国”解体、英阿马岛战争、战后复苏又衰落、英国脱欧、新冠疫情等风风雨雨，可以说，伊丽莎白二世的一生，就是一部英国当代史。而她本人，也创造了诸多历史。2015年9月9日，伊丽莎白二世超越了她的曾曾祖母维多利亚女王，成为英国在位时间最长的君主。女王一直被称为“超长待机”，她的统治期跨越了二战后的时代。去年6月，当女王在温莎城堡迎接拜登时，他已经是她会面的第13位美国总统。自杜鲁门以来，除了林登·约翰逊，她见过有所美国总统。在英国，她已经经历了15位英国首相。从丘吉尔到撒切尔夫人，从布莱尔到梅姨，再到约翰逊以及刚刚上任的第三位女首相特拉斯，女王见证一个帝国的兴衰。#特拉斯#今年2月曾感染新冠最近刚任命英国新任首相当然，七十年来，伊丽莎白二世也曾遭遇风波与挫折，诸多事件，都与王室成员有关。1997年，在黛安娜王妃去世后，伊丽莎白二世未参加公众悼念活动，招致批评，让英国人觉得王室冷漠、不近人情。在顾问的劝说下，她转变了态度，令白金汉宫下半旗，在聚集哀悼的人群面前亮相，还发表了电视讲话，安抚“痛失人民王妃”的民众。那之后，英国民众对王室的态度逐渐转暖。2002年，英国庆祝伊丽莎白二世登基50周年，但对76岁的女王本人而言，她的心情更为复杂。因为母亲王太后和妹妹玛格丽特公主，都在这一年相继去世。更多的“坎”，则在女王93岁以后到来。2019年末，英国安德鲁王子被卷入美国富豪爱泼斯坦性侵丑闻，极大影响了英国王室的声誉，最终不得不辞去王室职务。2020年初，迎娶了美国女演员梅根的哈里王子，与妻子一同宣布从王室“出走”，又引发了广泛议论。而到了2021年，与伊丽莎白二世相伴一生，已经99岁的菲利普亲王又撒手人寰。用女王自己的话说，这位相伴73年的伴侣离去，给她的生活留下了“巨大的空洞”。她身着黑色服装、神情凝重地独坐的画面，令英国网友唏嘘。菲利普亲王去世后，女王的身体状况明显不如从前，今年2月她曾因感染新冠“倍感疲惫”，近几个月来，又因身体原因缺席了一系列公共活动。而在最近任命特拉斯为英国新首相时也打破了传统，首次在苏格兰巴尔莫勒尔接待新首相。（北京日报公号）L北京日报都视频的微博视频
4344,庹庹日记薄今天伊丽莎白女王去世了；今天做核酸的阿姨夸我们漂亮；今天让我想起霍金“我们只能穿越到未来却不能回到过去”;今天只有妈妈还在关心我;今天想有一只狗狗来陪伴我
8204,#台北民众高喊佩洛西滚回去#大半夜气得睡不着，浅浅普个法叭?那些不相信祖国的人，一边享受着祖国的一切，一边还在网上当键盘侠，良心呢?脑子呢?
241,#如何看待李易峰昨晚发声明##李易峰多次嫖娼被行政拘留##李易峰##郭子瑜发文##blase湾湾##死鸭子嘴硬##明星的打脸声明#周冬雨好像知道什么周冬雨嫌弃李易峰L杨悦1的微博视频
3690,一嘤不容两个伊丽莎白？
7957,2022/8/2复盘：事件：佩洛西窜台（地缘政治）大盘指数下行趋势极端形成中，情绪：冬季板块：特斯拉机器人（穿越概率大）芯片市场高标：6板鸣志电器（机器人概念），热点情绪整体最好板块机器人概念，盘中（赛象科技9：44封板）激活整体板块！今日操作：早上大盘下跌时买入（哈工智能）3成仓，幻想板块效应能带动补涨，对于前一晚复盘未做到执行，担心市场杀高标，看好2进3赛象科技未能下手（胆识不够）明日预想：今晚留意弯弯消息利好：大盘止跌下行，情绪：暖冬或冬转春利空：大盘继续下行，情绪：深冬板块：机器人，芯片，军工
8562,大盘经过了两天的剧烈震荡，此刻有所企稳，米国8月10号CPI数据即将公布，佩洛西搅局亚洲，这都是造成这次大盘动荡的诱因，老铁们今天怎么操作？#比特币btc##以太坊eth#黄哥分享
6026,今天经历了人生中第一次地震，第一次觉得自己的生命是这么的渺小，又是emo的一天啊
5928,#四川1小时内连发7次地震#望平安
3392,英国伊丽莎白女王前一天还在接见新任首相，第二天便撒手人寰，英女王真的不一般。这种没有痛苦的离开，寿终正寝，无疾而终，真的是修行来的。人生能有个善终都不是那么容易的。大部分人被疾病折磨的死去活来，受尽痛苦才走，生不如死的情况其实并不少，死的没有一点尊严。就为了最后能走的不痛苦也要好好修行。
6629,今晚上真的睡不着，不敢睡，中午的地震让我现在都心有余悸，这次是真的被吓惨了，希望一切平安?#泸定地震#
6969,真是越想越伤心，睡不着，脑子里思绪不断，一直闭着眼睛流泪。想问问地震和疫情什么时候能从地球上消失？
7759,#干涉中国主权问题14亿人不答应##外交部回应佩洛西窜访中国台湾地区#生在国旗下长在春风里人民有信仰国家有力量我永远支持我的祖国??
1513,#李易峰墨镜#咱就是说，好奇心害死猫，真的别看，咱真的吃点健康的瓜。我看完一整个，太恶心了，吃到了烂瓜，求一双没看过的眼睛，朋友们，有时候真的得听劝，不然就和我现在一样，恶心到睡不着
3607,看完歌剧出来好突然伊丽莎白线才刚开通呢
8081,写的很好，人还是得多思考。『佩洛西窜访台湾的真实目的』O佩洛西窜访台湾的真实目的
3471,#英国女王去世#危月燕冲月，一山不容两个伊丽莎白
3939,"#英国女王最恨的两个女人#英国的女王为伊丽莎白二世。为什么叫“二世”呢?因为英国历史上早已有过一位名“伊丽莎白”的女王了,也正因为有了这“二世#英国女王的五大重要历史时刻##陈鲁豫讲电影#"
4212,#英国女王去世#后，这些将发生改变......货币：据英国皇家造币厂的硬币专家称，英镑上的女王头像将改为查尔斯的新肖像；邮箱：皇家邮政信箱的缩写ERII（伊丽莎白女王二世），将改为CRIII（查尔斯三世）；邮票：英国皇家邮政邮票上的女王头像将改为印有查尔斯王子的头像；国歌：查尔斯登上王位后，国歌将由《天佑女王》改为《天佑国王》；护照：新签发的任何新护照都将改为男性代名词。
1066,#李易峰##李易峰邓伦工作室联合声明##李易峰发长文再次声明##北京警方通报李易峰多次嫖娼##吴亦凡##邓伦##袁冰妍#【李易峰最后一次公开露面挺有仪式感】李易峰最后一次露面挺有仪式感的，下线886！他是不是提前知道自己要完了？？？百里屠苏终究是倒在了月圆之夜，塌房就两种，一个税，一个睡，该交的税得交，不该睡的别睡L扒圈鸨姐的微博视频
